category,name,description
user.behavior,about_page.libraries_tapped,"A user tapped on "Libraries that we use" item from About page"
user.behavior,about_page.licensing_tapped,"A user tapped on "Licensing information" item from About page"
user.behavior,about_page.privacy_notice_tapped,"A user tapped on "Privacy notice" item from About page"
user.behavior,about_page.rights_tapped,"A user tapped on "Know your rights" item from About page"
user.behavior,about_page.support_tapped,"A user tapped on "Support" item from About page"
user.unique_id,activation.activation_id,"An alternate identifier, not correlated with the client_id, generated onceand only sent with the activation ping."
user.unique_id.pseudonymous,activation.identifier,"A hashed and salted version of the Google Advertising ID from the device.This will never be sent in a ping that also contains the client_id."
user.settings.installs,addons.enabled_addons,"A list of all enabled add-ons on the device."
user.settings.installs,addons.extensions_process_ui_disable,"A counter that indicates the number of times that a userhas clicked on the button continue with add-onsdisabled on the dialog for when the extensionsprocess crashed."
user.behavior,addons.extensions_process_ui_retry,"A counter that indicates the number of times that a userhas clicked on the button try to restart add-onson the dialog for when the extensions process crashed."
user.settings.installs,addons.has_enabled_addons,"Whether or not the user has enabled add-ons on the device."
user.settings.installs,addons.has_installed_addons,"Whether or not the user has installed add-ons on the device."
user.settings.installs,addons.installed_addons,"A list of all installed add-ons on the device."
user.settings.installs,addons.open_addon_in_toolbar_menu,"A user interacted with an installed add-on in the toolbar menu"
user.settings.installs,addons.open_addon_setting,"A user opened an add-on's setting"
user.settings.installs,addons.open_addons_in_settings,"A user accessed "Add-ons" from the Settings"
user.behavior,address_toolbar.cancel_tapped,"When cancel button is tapped on the toolbar."
user.behavior,address_toolbar.reload_tapped,"When reload button is tapped on the toolbar."
user.behavior,address_toolbar.share_tapped,"When share button is tapped on the toolbar."
user.behavior,address_toolbar.swipe_cfr_dismissed,"Address bar swipe CFR was dismissed by the user."
user.behavior,address_toolbar.swipe_cfr_shown,"Address bar swipe CFR was shown to the user."
user.behavior,address_toolbar.tablet_navigation_cfr_dismissed,"A user has dismissed the tablet navigation bar CFR."
user.behavior,address_toolbar.tablet_navigation_cfr_shown,"Tablet navigation bar CFR was shown to the user."
user.behavior,addresses.autofill_prompt_dismissed,"Address autofill prompt was dismissed."
user.behavior,addresses.autofill_prompt_expanded,"Address autofill prompt was expanded."
user.behavior,addresses.autofill_prompt_shown,"Address autofill prompt was shown."
user.behavior,addresses.autofilled,"User has autofilled an address."
user.behavior,addresses.deleted,"A counter of the number of addresses that have been deleted bythe user."
user.behavior,addresses.form_detected,"A address form was detected."
user.behavior,addresses.management_add_tapped,"User has tapped the add button through address management settings."
user.behavior,addresses.management_address_tapped,"User has tapped on a saved address through address management settings."
user.contact.address,addresses.saved,"A counter of the number of addresses that have been savedmanually by the user."
user.contact.address,addresses.saved_all,"A counter of the number of all addresses that are currently saved by user."
user.behavior,addresses.updated,"A counter of the number of addresses that have been updatedmanually by the user."
user.behavior.attribution,adjust_attribution.adgroup,"The name of the Adjust AdGroup that was used to source this installation."
user.behavior.attribution,adjust_attribution.adjust_attribution_time,"The time that it takes to derive the attribution parameters by the Adjust SDK."
user.behavior.attribution,adjust_attribution.campaign,"The name of the Adjust Campaign that is responsible for this installation."
user.behavior.attribution,adjust_attribution.creative,"The identifier of the Adjust Creative material that the user interacted with."
user.behavior.attribution,adjust_attribution.network,"The name of the Adjust Network that sourced this installation."
user.behavior,android_autofill.confirm_cancelled,"The user needed to confirm autofilling an unauthenticatedapplication and decided to cancel"
user.behavior,android_autofill.confirm_successful,"The user confirmed autofilling an unauthenticated application"
user.settings,android_autofill.enabled,"Whether or not Firefox is the Android Autofill provider for this user.provider."
user.behavior,android_autofill.request_matching_logins,"The app received an Android Autofill request from the system and wasable to find matching logins for the request"
user.behavior,android_autofill.request_no_matching_logins,"The app received an Android Autofill request from the system and wasnot able to find matching logins for the request"
user.behavior,android_autofill.search_displayed,"The user has selected the search option to manually search amatching login"
user.behavior,android_autofill.search_item_selected,"The user has selected a search result for autofilling."
user.device,android_autofill.supported,"Whether or not Android Autofill is supported by the device and issupported for this user."
user.behavior,android_autofill.unlock_cancelled,"The user needed to unlock the app in order to autofilllogins, but the process was cancelled."
user.authorization,android_autofill.unlock_successful,"The user successfully unlock the app in order to autofill logins"
system.operations,android_keystore_experiment.experiment_failure,"Records an instance of an unexpected failure during the experiment"
system.operations,android_keystore_experiment.get_failure,"Unexpected failure when trying to read from secure prefs."
system.operations,android_keystore_experiment.get_result,"Success when trying to read from secure prefs."
system.operations,android_keystore_experiment.reset,"An experiment failed, and was reset to run again in the future from ablank state."
system.operations,android_keystore_experiment.write_failure,"Unexpected failure when trying to write to secure prefs."
system.operations,android_keystore_experiment.write_success,"Success in writing to secure prefs."
system.operations,app_exit_info.process_exited,"A process has exited."
user.behavior,app_icon.new_private_tab_tapped,"A user tapped to open new private tab in Firefox Android app shortcuts menu."
user.behavior,app_menu.customize_homepage,"User has tapped on Customize Homepage in the app menu."
user.behavior,app_menu.sign_into_sync,"Counts the number of times a user has clicked "sign into sync" from the settings page."
user.settings,app_theme.dark_theme_selected,"A user selected Dark Theme"
user.settings,autoplay.setting_changed,"A user changed their autoplay setting to either block_cellular,block_audio, or block_all."
user.behavior,autoplay.visited_setting,"A user visited the autoplay settings screen"
user.behavior,awesomebar.abandonment,"The user dismissed the awesomebar without completing their search."
user.behavior,awesomebar.bookmark_suggestion_clicked,"The bookmark suggestion in awesomebar was clicked."
user.behavior,awesomebar.clipboard_suggestion_clicked,"The clipboard suggestion in awesomebar was clicked."
user.behavior,awesomebar.engagement,"The user completed their search session by tapping a search result,or entering a URL or a search term."
user.behavior,awesomebar.history_suggestion_clicked,"The history suggestion in awesomebar was clicked."
user.behavior,awesomebar.non_sponsored_suggestion_clicked,"A non-sponsored suggestion in the awesomebar was clicked."
user.behavior,awesomebar.non_sponsored_suggestion_impressed,"A non-sponsored suggestion was visible when the user finished interacting with the awesomebar."
user.behavior,awesomebar.opened_tab_suggestion_clicked,"The opened tab suggestion in awesomebar was clicked."
user.behavior.search,awesomebar.recent_search_suggestion_clicked,"The recent search suggestion in awesomebar was clicked."
user.behavior.search,awesomebar.recent_search_suggestions_displayed,"Recent search suggestions are displayed in the awesomebar."
user.behavior.search,awesomebar.search_action_clicked,"The search action in awesomebar was clicked."
user.behavior.search,awesomebar.search_suggestion_clicked,"The search suggestion in awesomebar was clicked."
user.behavior,awesomebar.search_term_suggestion_clicked,"The search term suggestion in awesomebar was clicked."
user.behavior,awesomebar.sponsored_suggestion_clicked,"A sponsored suggestion in the awesomebar was clicked."
user.behavior,awesomebar.sponsored_suggestion_impressed,"A sponsored suggestion was visible when the user finished interacting with the awesomebar."
user.behavior,awesomebar.top_site_suggestion_clicked,"The top site suggestion in awesomebar was clicked."
user.behavior,awesomebar.top_site_suggestions_displayed,"Top site suggestions are displayed in the awesomebar."
user.behavior.search,awesomebar.trending_search_suggestion_clicked,"The trending search suggestion in awesomebar was clicked."
user.behavior.search,awesomebar.trending_search_suggestions_displayed,"Trending search suggestions are displayed in the awesomebar."
user.behavior,banner_open_in_app.dismissed,"User tapped 'dismiss' on Open in App banner."
user.behavior,banner_open_in_app.displayed,"Open in App banner was shown."
user.behavior,banner_open_in_app.go_to_settings,"User tapped 'go to settings' on Open in App banner."
user.behavior,bookmarks_management.copied,"A user copied a bookmark."
user.behavior,bookmarks_management.edited,"A user edited the title and/or URL of an existing bookmark."
user.behavior,bookmarks_management.folder_add,"A user added a new bookmark folder."
user.behavior,bookmarks_management.folder_remove,"A user removed a bookmark folder."
user.behavior,bookmarks_management.moved,"A user moved an existing bookmark or folder to another folder."
user.behavior,bookmarks_management.multi_removed,"A user removed multiple bookmarks at once."
user.behavior,bookmarks_management.open,"A user opened a bookmark."
user.behavior,bookmarks_management.open_all_in_new_tabs,"A user opened all the bookmarks in a folder in new tabs."
user.behavior,bookmarks_management.open_all_in_private_tabs,"A user opened all the bookmarks in a folder in new private tabs."
user.behavior,bookmarks_management.open_in_new_tab,"A user opened a bookmark in a new tab."
user.behavior,bookmarks_management.open_in_new_tabs,"A user opened multiple bookmarks at once in new tabs."
user.behavior,bookmarks_management.open_in_private_tab,"A user opened a bookmark in a new private tab."
user.behavior,bookmarks_management.open_in_private_tabs,"A user opened multiple bookmarks at once in new private tabs."
user.behavior,bookmarks_management.removed,"A user removed a bookmark item."
user.behavior,bookmarks_management.search_icon_tapped,"A user tapped on the search icon in bookmarks management."
user.behavior,bookmarks_management.search_result_tapped,"A user tapped on the search result in bookmarks management."
user.behavior,bookmarks_management.shared,"A user shared a bookmark."
user.behavior,bookmarks_management.sort_by_a_to_z,"A user sorted their bookmarks by A to Z."
user.behavior,bookmarks_management.sort_by_custom,"A user sorted their bookmarks by the custom sort order."
user.behavior,bookmarks_management.sort_by_newest,"A user sorted their bookmarks by the newest added."
user.behavior,bookmarks_management.sort_by_oldest,"A user sorted their bookmarks by the oldest added."
user.behavior,bookmarks_management.sort_by_z_to_a,"A user sorted their bookmarks by Z to A."
user.behavior,bookmarks_management.sort_menu_clicked,"A user clicked the sort icon on the bookmarks screen."
user.behavior,broken_site_report.breakage_category,"An optional select-box choice (options may eventually change)"
user.settings.installs,broken_site_report.browser_info.addons,"Active user-installed addons (not themes). List of objects with `id`, `name`, `temporary`, and `version`. For instance, `[{"id":"addon-name@email.org", "name":"My Addon", "temporary":false, "version":"0.1.0"}]`"
N/A,broken_site_report.browser_info.app.default_locales,"Locale strings, ie `["en-US", "en"]`"
system,broken_site_report.browser_info.app.default_useragent_string,"The default user-agent string of the browser"
system,broken_site_report.browser_info.app.fission_enabled,"Whether Fission is enabled"
